timestamp,elapsed_time_s,trial,target_rpm,command_rpm,command_change_flag,command_timestamp,command_elapsed_s,rpm_left,rpm_right,rpm_average,rpm_error_left,rpm_error_right,vbus,motor_state,sample_interval_s
2026-09-18T07:09:26.345+07:00,1.7857251419991371,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.032332933998986846
2026-09-18T07:09:26.365+07:00,1.8083974989986018,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.022672356999464682
2026-09-18T07:09:26.395+07:00,1.8373161569998047,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.028918658001202857
2026-09-18T07:09:26.424+07:00,1.8673621010002535,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.0300459440004488
2026-09-18T07:09:26.456+07:00,1.897355819999575,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.029993718999321572
2026-09-18T07:09:26.484+07:00,1.9271856949999346,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.029829875000359607
2026-09-18T07:09:26.512+07:00,1.9554814610000903,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.02829576600015571
2026-09-18T07:09:26.544+07:00,1.9876277669991396,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.03214630599904922
2026-09-18T07:09:26.576+07:00,2.0178210100002616,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.030193243001122028
2026-09-18T07:09:26.605+07:00,2.0473084789991844,4.2_25rpm,25.0,0.0,0,2026-09-18T07:09:24.555+07:00,0.0,0.0,0.0,0.0,0.0,0.0,42.3,PRE_STEP,0.02948746899892285
